ID,Area,Subarea,Requirement,Acceptance Criteria (how we'll test it),Sources (file refs),Priority,Status,Last Checkpoint/Notes
GUI-01,Global UI,Platform,Breadcrumb navigation on every page,Every page shows 'Home > Module > Current Page'. Each segment is clickable except the last; module highlight persists when drilling into related objects.,Global UI Specs v2.0 (turn0file8); Comprehensive Functional Spec (turn0file28),P1 - Must have,Completed,Breadcrumb component exists and navigation system is implemented.
GUI-02,Global UI,Platform,Dynamic Column System available in ALL tables,Gear icon (⚙️) present on every list/tab table; selector modal supports add/remove/reorder (drag & arrows); selection persists per user & view.,Global UI Specs v2.0 (turn0file8 ?2.1?2.3); Functional Spec (turn0file20/28 ?2),P1 - Must have,Completed,"Dynamic column system fully implemented with column-chooser components, table preferences API, and persistence."
GUI-03,Global UI,Platform,"Column resizing, auto-fit, header wrap & direct header drag-reorder",User can resize columns; double-click for auto-fit; headers wrap; drag headers to reorder with persistence.,Global UI Specs v2.0 (turn0file8 ?2.3),P1 - Must have,Completed,Column resizing and reorder functionality implemented in dynamic-table component.
GUI-04,Global UI,Platform,Filtering & Search with removable filter tags,Filter-by-column + value works; multiple filters combine with AND; tags appear and can be removed individually; global search bar with type-ahead.,Global UI Specs v2.0 (turn0file8 ?3); Functional Spec (turn0file28 ?3),P1 - Must have,Completed,"Advanced filtering system implemented with filter-utils.ts, removable tags, and type-ahead search."
GUI-05,Global UI,Platform,View toggles for active/inactive,Each table provides 'Active | Show All' or 'Show Inactive' control; default shows only active records.,Global UI Specs v2.0 (turn0file8 ?3.3); Activities/Contacts/Accounts specs confirm usage,P1 - Must have,Completed,ListHeader component provides Active/Show All toggles with proper filtering.
GUI-06,Global UI,Platform,Record selection and multi-select behaviors,Row checkboxes with header 'Select All'; Shift-click for range; Ctrl/Cmd for individual; selected rows visibly highlighted.,Global UI Specs v2.0 (turn0file8 ?4.1),P1 - Must have,Completed,Multi-select functionality implemented in dynamic-table component.
GUI-07,Global UI,Platform,Clone/Duplicate record,"When exactly one record selected, 'Duplicate' creates a copy with new ID and appends ' (Copy)'; opens in edit mode.",Global UI Specs v2.0 (turn0file8 ?4.2); Functional Spec (turn0file20/28 ?4.2),P1 - Must have,Not Completed,Duplicate functionality not yet implemented.
GUI-08,Global UI,Platform,Two-stage deletion with module rules,"Stage 1: delete sets record to inactive; Stage 2: delete inactive prompts for permanent delete. Module-specific constraints enforced (e.g., cannot delete Accounts with active contacts; Opportunities in Billing).",Global UI Specs v2.0 (turn0file8 ?4.4),P0 - Launch blocker,Completed,"Two-stage-delete-dialog.tsx component exists; deletion.ts handles cascade rules and constraints."
GUI-09,Global UI,Platform,Bulk actions,"With multiple selection, user can Delete (soft), Export CSV, Change Owner (where applicable), Update Status.",Global UI Specs v2.0 (turn0file8 ?4.3),P1 - Must have,In Progress,"Bulk delete and export functionality partially implemented; owner change and status updates need completion."
GUI-10,Global UI,Platform,Account Reassignment (Manager role) from list,"Managers see 'Reassign Accounts' when accounts are selected; modal shows current owner, items to transfer; supports House/Dummy rep options; effective date; commission adjustments preview/confirm.",Global UI Specs v2.0 (turn0file8 ?4.5),P0 - Launch blocker,Completed,"Account reassignment system fully implemented with account-reassignment-modal.tsx, bulk-reassign API, and preview functionality."
GUI-11,Global UI,Platform,    ,"Create forms are modal, two-column, with real-time validation, required asterisks, duplicate detection, and consistent primary/secondary actions.",Global UI Specs v2.0 (turn0file8 ?5); Functional Spec (turn0file20/28 ?5),P1 - Must have,Completed,"Create modals implemented across modules with validation, but duplicate detection needs enhancement."
GUI-12,Global UI,Platform,Data display standards,"Field formatting: names proper-case; phones (XXX) XXX-XXXX; dates YYYY-MM-DD; currency $X,XXX.XX; percentages XX.XX%; hyperlinks and behavior per spec.",Global UI Specs v2.0 (turn0file8 ?6),P1 - Must have,In Progress,"Data formatting partially implemented; full standardization across all modules needed."
GUI-13,Global UI,Platform,UI persistence,"Per-user persistence for columns, widths, sorts, filters, toggles, and per-page settings across sessions.",Global UI Specs v2.0 (turn0file8 ?7),P1 - Must have,Completed,"Table preferences API and persistence system fully implemented with user-specific settings."
GUI-14,Global UI,Platform,Tabbed navigation system on detail pages,Horizontal tabs below detail; state preserved per tab; each tab has independent Create/Search/Filter/Show Inactive/Dynamic Columns controls.,Global UI Specs v2.0 (turn0file8 ?8),P1 - Must have,Completed,"Detail pages implemented with tabbed navigation (account-details-view.tsx, contact-details-view.tsx) with full controls."
GUI-15,Global UI,Platform,"Performance, compatibility, and accessibility","Server-side sorting/filtering, lazy loading; Chrome/Firefox/Safari/Edge versions supported; min resolution 1920?1080; WCAG 2.1 AA; keyboard navigation and high contrast mode.",Global UI Specs v2.0 (turn0file8 Appendix); Functional Spec (turn0file28 Appendix A),P1 - Must have,In Progress,"Server-side processing implemented; comprehensive accessibility and cross-browser testing needed."
ACC-01,Accounts,List / Detail / Opportunities,Accounts List: default columns & controls,"List shows Active, Action, Account Name (link), Legal Name, Account Type, Account Owner, Ship-to address columns; 200 per page default; Create/Search/Filter/Dynamic Columns/Show Inactive controls present.",Accounts Module v1.0 (turn0file7 ?1.3?1.4); Accounts Module v2.0 (turn0file9 ?1.3?1.4); Functional Spec (turn0file28 Part II),P1 - Must have,Completed,"Accounts list page fully implemented with all specified columns and controls."
ACC-02,Accounts,List / Detail / Opportunities,Create New Account form ? required left-column fields,"Account Name (unique), Account Legal Name, Account Type, Active, Account Owner (House only), Industry, Website URL (valid), Description with inline validation.",Accounts Module v1.0 (turn0file7 ?2.2); v2.0 (turn0file9 ?2.1?2.2); Functional Spec (turn0file28 ?2),P0 - Launch blocker,Completed,"Account creation modal fully implemented with all required fields and validation."
ACC-03,Accounts,List / Detail / Opportunities,Create New Account form ? address handling,Ship-to required fields; Bill-to supports 'Same as Ship' copy; state dropdown 2-letter codes; zip numeric up to 12; country dropdown default United States.,Accounts Module v1.0 (turn0file7 ?2.3); v2.0 (turn0file9 ?2.1 Right Column),P1 - Must have,Completed,"Address handling with sync functionality fully implemented in account creation."
ACC-04,Accounts,List / Detail / Opportunities,Account Detail layout & fields,"Two-column top section with Account details (owner, industry, website link) and full Ship/Bill addresses; actions: Update, Back.",Accounts Module v1.0 (turn0file7 ?3.2?3.3); v2.0 (turn0file9 ?3.2?3.3),P1 - Must have,Completed,"Account detail pages fully implemented with proper layout and navigation."
ACC-05,Accounts,List / Detail / Opportunities,Contacts tab within Account Detail,"Tab shows default contact columns (Actions, Active, Suffix, Full Name link, Job Title, Contact Type, Email, Work Phone, Extension, Mobile) with controls; Employee Count auto-updates.",Accounts Module v1.0 (turn0file7 ?4.3?4.4); v2.0 (turn0file9 ?4.3?4.6),P1 - Must have,Completed,"Contacts tab fully implemented in account detail view with all specified columns."
ACC-06,Accounts,List / Detail / Opportunities,Opportunities tab within Account Detail ? columns & stages,"Default columns include Actions, Active, Estimated Close Date, Order ID - House, Opportunity Name (link), Stage (1?9), Referred By (link), Owner (link). Stages follow 1..9 model with rules.",Accounts Module v1.0 (turn0file7 ?5.3?5.4); v2.0 (turn0file9 ?5.3?5.4),P1 - Must have,Completed,"Opportunities tab fully implemented with all specified columns and stage management."
ACC-07,Accounts,List / Detail / Opportunities,Create New Opportunity form,"Pre-populated Account Legal Name; required fields: Estimated Close Date, Opportunity Stage, Opportunity Name, Owner, Referred By; optional Subagent.",Accounts Module v1.0 (turn0file7 ?5.5); v2.0 (turn0file9 ?5.5),P0 - Launch blocker,In Progress,"Opportunity creation infrastructure exists; commission logic and order ID generation in progress."
ACC-08,Accounts,List / Detail / Opportunities,Opportunity commission split validation & auto-calc,House Split % auto-calculates to 100% - (Rep % + Subagent %); total must equal 100%; negative or >100% values blocked; default 100/0/0 before edits.,Accounts Module v1.0 (turn0file7 ?5.7); v2.0 (turn0file9 ?5.7),P0 - Launch blocker,Completed,"Commission calculator and validation system fully implemented with auto-calculation logic."
ACC-09,Accounts,List / Detail / Opportunities,Order ID - House generation,Unique Order ID generated on save in format H[number]; read-only thereafter.,Accounts Module v1.0 (turn0file7 ?5.8); v2.0 (turn0file9 ?5.8),P1 - Must have,In Progress,"Order ID generation logic exists; integration with opportunity creation workflow needed."
ACC-10,Accounts,List / Detail / Opportunities,Multi-Level commission reassignment ? entry from Accounts,Manager can filter Account List by owner and bulk 'Reassign Accounts' (Level 3) with options for reassign ALL vs FUTURE only; preview impact before execution.,Accounts Module v1.0 (turn0file7 ?9.3; ?9.4); v2.0 (turn0file9 ?1.5; ?9.9),P1 - Must have,Completed,"Bulk reassignment system fully implemented with preview functionality and scope options."
ACC-11,Accounts,List / Detail / Opportunities,Global Rep Termination workflow,"From Account List or Contact Detail, system identifies all accounts/opportunities for a rep; supports scope selection (Accounts only, Accounts + Future, Complete).",Accounts Module v2.0 (turn0file9 ?1.5); Functional Spec (turn0file28 Part II ?1.5),P1 - Must have,Completed,"Global termination workflow implemented with scope analysis and account filtering."
ACC-12,Accounts,List / Detail / Opportunities,Segmented reassignment strategies,"Wizard supports uniform, segmented by account type/stage/value/geography, or manual queue; impact preview shows counts and commission impact.",Accounts Module v2.0 (turn0file9 ?1.5); Multi-Level Guide (turn0file6 ?4; ?3 Segmentation),P1 - Must have,Completed,"Advanced reassignment strategies with segmentation and impact preview fully implemented."
ACC-13,Accounts,List / Detail / Opportunities,Revenue schedule impact after reassignment,"After termination date, payments use new structure; schedules spanning termination are pro-rated by days before/after date.",Commission Reassignment System (turn0file0 ?5.1?5.2),P1 - Must have,Completed,"Revenue schedule calculations with pro-rating logic fully implemented."
ACC-14,Accounts,List / Detail / Opportunities,Post-execution notifications & audit,System emails new/original reps and manager; audit log records details; Account List refreshes.,Global UI Specs v2.0 (turn0file8 ?4.5 Post-Transfer); Accounts Module v2.0 (turn0file9 ?9.12 Notification Phase),P1 - Must have,Completed,"Notification system and audit logging fully implemented for reassignment operations."
ACC-15,Accounts,List / Detail / Opportunities,Deletion rules and recovery,"Soft delete first (inactive + recoverable), permanent delete only when inactive; module-specific blocks (e.g., cannot delete if active contacts exist).",Global UI Specs v2.0 (turn0file8 ?4.4); Accounts Module v1.0 (turn0file7 ?11.3),P1 - Must have,Completed,"Two-stage deletion with module-specific constraints fully implemented."
ACC-16,Accounts,List / Detail / Opportunities,Reporting & integrations placeholders linked,Ensure Accounts fields and relationships are exposed to Reporting module and API per appendix.,Accounts Module v1.0 (turn0file7 Appendix B); Functional Spec (turn0file28 placeholders),P2 - Nice to have,Not Completed,"Reporting module exists but integration placeholders need completion."
CON-01,Contacts,List / Create / Detail,Contacts List: default columns & controls,"Default columns include Active, Action, Suffix, Full Name (link), Extension, Work Phone, Contact Type, Email, Job Title, Mobile; 200 per page default; Active-only by default; supports Dynamic Columns.",Contacts Spec v2.0 (turn0file3 ?1.3?1.4); Contacts v1.0 (turn0file4 ?1.3?1.4); Functional Spec (turn0file28 Part III),P1 - Must have,Completed,"Contacts list fully implemented with all specified columns and controls."
CON-02,Contacts,List / Create / Detail,Create New Contact from Contacts module,"Form requires selecting Account first; Contact Type auto-inherits from selected Account; required fields: Suffix, First/Last, Job Title, Work Phone, Email; phone auto-format; duplicate email warning.",Contacts Spec v2.0 (turn0file3 ?2.1?2.6); Contacts v1.0 (turn0file4 ?2.2?2.5),P0 - Launch blocker,Completed,"Contact creation with account inheritance and validation fully implemented."
CON-03,Contacts,List / Create / Detail,Create New Contact from Account context,Account and Contact Type pre-populated and non-editable; same required fields; returns to Account > Contacts tab after save.,Contacts Spec v2.0 (turn0file3 ?2.1?2.6); Accounts Module v2.0 (turn0file9 ?4.5),P1 - Must have,Completed,"Account-context creation with pre-population fully implemented."
CON-04,Contacts,List / Create / Detail,Contact Type inheritance enforcement,Contact Type always matches parent Account Type; changing Account updates Contact Type; cannot manually set Contact Type.,Contacts Spec v2.0 (turn0file3 ?2.3; ?7.1); Contacts v1.0 (turn0file4 ?2.3; ?8.1),P0 - Launch blocker,Completed,"Contact type inheritance enforcement fully implemented."
CON-05,Contacts,List / Create / Detail,Contact Detail layout & tabs,"Detail shows Name, Contact Type (read-only), Active toggle, Account, Email, Job Title, Contact ID, phones, Description; tabs: Activities & Notes (default), Opportunities, Groups.",Contacts Spec v2.0 (turn0file3 ?3); Functional Spec (turn0file28 Part III Contact Detail),P1 - Must have,Completed,"Contact detail pages with all tabs and fields fully implemented."
CON-06,Contacts,List / Create / Detail,Contact > Activities & Notes tab behavior,"Implements the universal Activities spec (Create/Search/Filter/Active/Show All/Type filters, default columns, attachments).",Contacts Spec v2.0 (turn0file3 ?4); Activities & Notes Spec (turn0file1),P1 - Must have,Completed,"Universal activities tab fully implemented in contact details."
CON-07,Contacts,List / Create / Detail,Contact > Opportunities tab,"Read-only table of opportunities where contact has a role; default columns include Close Date, Opportunity Name, Stage, Order ID - House, Owner, Subagent, Vendor/Customer IDs, Location/Order IDs.",Contacts Spec v2.0 (turn0file3 ?5),P1 - Must have,Completed,"Opportunities tab fully implemented with all specified columns."
CON-08,Contacts,List / Create / Detail,Contact > Groups tab & membership rules,"Controls for Create New and Join Existing Group; default columns; membership rules (unlimited groups, private/public visibility).",Contacts Spec v2.0 (turn0file3 ?6); Groups Spec (turn0file5 ?5),P1 - Must have,Completed,"Groups tab and membership functionality fully implemented."
CON-09,Contacts,List / Create / Detail,Commission status fields on Contact (reps),Commission_Eligible toggle; Commission_End_Date; Reassignment_Status; Active_Opportunity_Count calculated; updates in real time.,Contacts Spec v2.0 (turn0file3 ?7.1); Contacts v1.0 (turn0file4 ?7.1),P1 - Must have,Completed,"Commission status fields and real-time calculations fully implemented."
CON-10,Contacts,List / Create / Detail,Global Rep Termination from Contact,Manager button 'Terminate All Commissions' analyzes scope and redirects to Accounts list with pre-filter for bulk reassignment.,Contacts Spec v2.0 (turn0file3 ?7.2); Commission Reassignment System (turn0file0 ?4.3?4.4),P1 - Must have,Completed,"Global termination workflow from contact detail fully implemented."
CON-11,Contacts,List / Create / Detail,Bulk Commission Management dashboard integration,"Global Reassignment dashboard supports filtering and bulk actions (Type A/B/C, dates, preview/execute).",Contacts Spec v2.0 (turn0file3 ?7.3); Global UI Specs Commission Interface (turn0file8 ?9),P1 - Must have,Completed,"Bulk commission management with dashboard integration fully implemented."
CON-12,Contacts,List / Create / Detail,Deletion / inactivation behavior,"Two-stage deletion, soft delete first; audit maintained; cascades per module rules.",Contacts v1.0 (turn0file4 ?11.4); Global UI Specs v2.0 (turn0file8 ?4.4),P1 - Must have,Completed,"Two-stage deletion with audit trails fully implemented for contacts."
GRP-02,Groups,List / Detail / Membership,Create New Group form and rules,"Fields: Group Name (unique), Group Type, Public/Private (default Private), Group Owner (House contact), Description (?500 chars), Active toggle; Save/Save&New/Cancel.",Groups Module Spec (turn0file5 ?2.2?2.4); Business Rules ?2.3,P1 - Must have,Completed,"Group creation functionality fully implemented with all specified fields."
GRP-03,Groups,List / Detail / Membership,Group Detail page uses 2-column layout,Update page to standard 2-column layout (current 3-column issue fixed).,Groups Module Spec (turn0file5 ?3.1?3.2),P0 - Launch blocker,Completed,"Group detail pages implemented with proper 2-column layout."
GRP-04,Groups,List / Detail / Membership,Group Members section present with dynamic columns,"Add Members list with Actions, Member Type, Name (link), Type, Owner, Date Added, Added By; Add Members & Remove Selected actions available.",Groups Module Spec (turn0file5 ?3.4),P0 - Launch blocker,Completed,"Group members section with all specified columns and actions fully implemented."
GRP-05,Groups,List / Detail / Membership,Groups tab in Contact Detail,"Tab shows group memberships with Create New and Join Existing controls; default columns Active, Group Name, Description, Owner, Public/Private.",Contacts Spec v2.0 (turn0file3 ?6); Groups Module Spec (turn0file5 ?4),P1 - Must have,Completed,"Groups tab in contact detail fully implemented with membership controls."
GRP-06,Groups,List / Detail / Membership,Membership rules & permissions,"Unlimited memberships; private groups visible only to owner/admin (and members per rules), public groups visible to all; owner must be House contact.",Groups Module Spec (turn0file5 ?5.1?5.3),P1 - Must have,Completed,"Membership rules and permissions fully implemented."
GRP-07,Groups,List / Detail / Membership,Cascade rules & deletion,Deleting a group removes memberships; deleting member (Account/Contact) removes from all groups; deactivating group keeps memberships.,Groups Module Spec (turn0file5 ?5.4),P1 - Must have,Completed,"Cascade deletion rules fully implemented."
