scenarioId,group,title,lane,status,validationScope,reason,executionMode,flowId,depositId,lineId,scheduleIds,notes,artifactPaths
"RS-001","Happy Path","Exact Match All Key Fields","deterministic","pass","scenario-proof","","browser-live","tc01-completed-final-state","3880182d-de21-4edc-935f-72c4921a88c5","96399ae3-41b0-44f7-94d7-5a94d129294e","8fae04fd-1277-4756-bf44-5afd3fd21e73","Verified against the completed duplicate TC-01 deposit already present in the current TEST DB. | Deposit detail and API payload both report Completed / reconciled final state with zero remaining allocation.","test-results/reconciliation-suite--RS-0-b942f--Exact-Match-All-Key-Fields-chromium/rs-001-finalized-detail.png"
"RS-002","Happy Path","Exact match using Additional Information metadata","deterministic","pass","scenario-proof","","browser-live","rs002-exact-metadata-candidate","01a6c210-9f8f-4ebf-97eb-d8bec64fdedd","ab8e9cad-7aaf-4cb8-9523-903d3e3333a0","51219876-e827-4bc0-81d6-ec257caf6391","Dedicated RS-002 metadata-assisted starter deposit returned exactly one candidate. | Candidate reasoning explicitly includes order ID and customer ID evidence, matching the additional-information scenario goal.","test-results/reconciliation-suite--RS-0-7dc95-tional-Information-metadata-chromium/rs-002-metadata-candidate.png"
"RS-003","Happy Path","Single deposit line splits cleanly across multiple schedules","deterministic","pass-pending-ui-review","scenario-proof","","browser-live","tc04-1tom-preview","e70b304d-a4ab-4367-a983-3040460cbb1e","3efe948b-cc82-4c21-94f4-b0b9e5a4195a","c5bacc78-363b-470f-a4ab-1b211184b02f|518caafd-7d8e-4794-83a1-1e50e3468583|1e3f1193-b23c-4e32-bf0a-adb687ce87fc","Current live TC-04 wizard previews a clean 1:M allocation across the intended TC-04 schedule trio. | Left as pass-pending-ui-review because the operator-facing allocation and final confirm flow still need a human acceptance pass in the current shared DB state.","test-results/reconciliation-suite--RS-0-fec5a-y-across-multiple-schedules-chromium/rs-003-tc04-1tom-preview.png"
"RS-004","Happy Path","Multiple deposit lines roll up to one schedule","deterministic","pass","scenario-proof","","browser-live","rs004-tc05-manytoone","7c6dbc29-d849-4c71-91a0-afe07db263d3","2c04f134-0acd-422a-a7a9-2eb1f5a2f0e1","bc5393d9-891b-4dea-ab07-9fd981017708","Browser/operator path proved RS-004 through the live wizard for 3 deposit lines into schedule bc5393d9-891b-4dea-ab07-9fd981017708. | UI path exercised checkbox selection, grouped match wizard open, ManyToOne framing, Submit Match, save confirmation, refresh, and persisted matched-state validation. | Line 2c04f134-0acd-422a-a7a9-2eb1f5a2f0e1 returned 1 candidate(s) including bc5393d9-891b-4dea-ab07-9fd981017708. | Line 5ec1b060-5c20-48fe-9936-d361575c15f5 returned 1 candidate(s) including bc5393d9-891b-4dea-ab07-9fd981017708. | Line 08e44224-843c-4bff-9fc8-2fb7f28db323 returned 1 candidate(s) including bc5393d9-891b-4dea-ab07-9fd981017708. | API candidate, deposit-detail, and revenue-schedule checks were retained only as support evidence after the UI-driven operator proof. | Rerun safety is guarded by preflight fixture restore, so the RS-004 proof can recover from prior shared-fixture contamination before re-executing.","test-results/reconciliation-suite--RS-0-71a68-nes-roll-up-to-one-schedule-chromium/rs-004-ui-selection-ready.png|test-results/reconciliation-suite--RS-0-71a68-nes-roll-up-to-one-schedule-chromium/rs-004-ui-wizard-open.png|test-results/reconciliation-suite--RS-0-71a68-nes-roll-up-to-one-schedule-chromium/rs-004-ui-applied.png|test-results/reconciliation-suite--RS-0-71a68-nes-roll-up-to-one-schedule-chromium/rs-004-ui-post-refresh.png"
"RS-005","Happy Path","Bundle payment matches multiple bundled products","deterministic","pass-pending-ui-review","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","Current runtime shape matches the shared grouped workflow fixture, so this row is counted as provisional workflow coverage only. | The exact row-specific 1:M or bundle-specific behavior is not yet proven with a distinct fixture. | Grouped fixture exposed a valid ManyToOne path for 3 deposit line(s) into schedule 1274ec2a-54c2-4dcb-9185-6f1cee0de73c. | Line b206178c-5f7e-44a4-9455-b017ff854d13 returned 1 candidate(s) including 1274ec2a-54c2-4dcb-9185-6f1cee0de73c. | Line 2b4d9b75-d7dc-4125-a199-01d70e0c2c59 returned 1 candidate(s) including 1274ec2a-54c2-4dcb-9185-6f1cee0de73c. | Line fba76747-c604-412c-8f1b-4f03b7600a6e returned 3 candidate(s) including 1274ec2a-54c2-4dcb-9185-6f1cee0de73c. | Preview/apply succeeded using match type ManyToOne. | API and deposit detail both showed every grouped deposit line as fully allocated after apply. | No variance-resolution prompt was required for the grouped apply path. | The grouped fixture was restored after verification so the shared TEST data stays reusable.","test-results/reconciliation-suite--RS-0-e86ae-s-multiple-bundled-products-chromium/rs-005-generic-mto1-candidates.png|test-results/reconciliation-suite--RS-0-e86ae-s-multiple-bundled-products-chromium/rs-005-generic-mto1-applied.png"
"RS-006","Happy Path","Only part of deposit intentionally applies to available schedules","deterministic","pass","scenario-proof","","browser-live","generic-partial-review","699a0e77-69d6-485c-ba8e-ddacd988ecf8","1c37b342-821a-4b28-9e51-db131e84f780","098200f0-c427-4e12-92d5-1c398263f851","Imported generic partial fixture was partially applied with 300 usage and 24 commission. | API and deposit detail both showed Partially Matched status with a non-zero remainder still open. | The fixture was restored to Unmatched after verification so the shared TEST data stays reusable.","test-results/reconciliation-suite--RS-0-c098c-lies-to-available-schedules-chromium/rs-006-generic-partial-applied.png"
"RS-007","Happy Path","Paid commission ties mathematically even if stated % field is informational","deterministic","pass","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","Imported generic 1:1 line returned 2 live candidate(s). | The intended generic schedule 098200f0-c427-4e12-92d5-1c398263f851 was directly applied and persisted as a full match. | An older shared-fixture collision still exists in the candidate list, but the direct target schedule apply path now proves the row can complete successfully. | The fixture was restored to Unmatched after verification so the shared TEST data stays reusable.","test-results/reconciliation-suite--RS-0-1f932-ated-field-is-informational-chromium/rs-007-generic-1to1-candidates.png|test-results/reconciliation-suite--RS-0-1f932-ated-field-is-informational-chromium/rs-007-generic-1to1-applied.png"
"RS-008","Happy Path","Line item requires penny placement but totals still exact","deterministic","pass","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","Imported generic 1:1 line returned 2 live candidate(s). | The intended generic schedule 098200f0-c427-4e12-92d5-1c398263f851 was directly applied and persisted as a full match. | An older shared-fixture collision still exists in the candidate list, but the direct target schedule apply path now proves the row can complete successfully. | The fixture was restored to Unmatched after verification so the shared TEST data stays reusable.","test-results/reconciliation-suite--RS-0-bbbef-ment-but-totals-still-exact-chromium/rs-008-generic-1to1-candidates.png|test-results/reconciliation-suite--RS-0-bbbef-ment-but-totals-still-exact-chromium/rs-008-generic-1to1-applied.png"
"RS-009","Financial Variance","Usage higher than expected","deterministic","pass","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","42bc2596-04aa-4fb4-b9e2-64c507e0ab03","098200f0-c427-4e12-92d5-1c398263f851","Imported generic 1:1 line returned 2 live candidate(s). | The intended generic schedule 098200f0-c427-4e12-92d5-1c398263f851 was directly applied and persisted as a full match. | An older shared-fixture collision still exists in the candidate list, but the direct target schedule apply path now proves the row can complete successfully. | The fixture was restored to Unmatched after verification so the shared TEST data stays reusable.","test-results/reconciliation-suite--RS-0-42ae6--Usage-higher-than-expected-chromium/rs-009-generic-1to1-candidates.png|test-results/reconciliation-suite--RS-0-42ae6--Usage-higher-than-expected-chromium/rs-009-generic-1to1-applied.png"
"RS-010","Financial Variance","Usage lower than expected","deterministic","pass","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","fe5e4fe1-d816-4826-ba7f-5dcc73e4e83e","098200f0-c427-4e12-92d5-1c398263f851","Imported generic 1:1 line returned 2 live candidate(s). | The intended generic schedule 098200f0-c427-4e12-92d5-1c398263f851 was directly applied and persisted as a full match. | An older shared-fixture collision still exists in the candidate list, but the direct target schedule apply path now proves the row can complete successfully. | The fixture was restored to Unmatched after verification so the shared TEST data stays reusable.","test-results/reconciliation-suite--RS-0-11715-c-Usage-lower-than-expected-chromium/rs-010-generic-1to1-candidates.png|test-results/reconciliation-suite--RS-0-11715-c-Usage-lower-than-expected-chromium/rs-010-generic-1to1-applied.png"
