Ticket ID,Epic/Area,Priority,Title,Description,Acceptance Criteria,Notes/Dependencies,Source,Completion Status,Hunter Development Notes
OPP-001,Opportunities/Products,P0,Commission Role - Subject Matter Expert,Need to add check mark & Tooltip  to control entered commission rates.,,,03/02 Fathom Meeting Trasncripts,,
OPP-002,Opportunities / Data Model,P0,Fix 'Other Account ID' propagation to use correct internal Account ID,Correct the mapping/propagation logic so the 'Other Account ID' stored/propagated matches the intended internal Account ID field (not an incorrect unique identifier).,"- When a deposit line is matched and IDs propagate, 'Other Account ID' references the correct internal Account ID value.; - Existing incorrect values are not reintroduced on subsequent matches.; - Add a regression test / reproducible scenario for this bug.",May require data cleanup for already-written incorrect IDs (ASSUMED: at least in test environments).,2026-03-02 Meeting (Summary+Transcript),In Progress,
OPP-003,Commission Logic / Opportunities,P1,Implement SME commission workflow (Opp checkbox + % field + tooltip; manual rate entry),"Support Subject Matter Expert (SME) deals via a manual workflow: add SME checkbox + SME % field on Opportunity details; show tooltip during Add Product to instruct user to adjust commission rate manually (e.g., 50% reduction).","- Opportunity details includes SME boolean + SME percent.; - When SME is checked and user adds a product, a tooltip/inline helper text appears explaining the required rate adjustment.; - User can manually override the commission rate (e.g., change 16% to 8%).; - Core commission formulas are unchanged (manual adjustment is the mechanism).",,2026-03-02 Meeting (Summary+Transcript),In Progress,
DEP-001,Deposit Templates / Mapping,P0,Template evolution: implement 'New Fields' + 'Exclude' tabs and auto-promote mapped fields,"In deposit field-mapping, separate unmapped deposit columns into 'New Fields' (unmapped fields that have values) vs 'Exclude' (blank/ignored). When users map new fields and save, those new mappings are added to the vendor template so subsequent uploads treat them as template fields.","- Mapping UI has 3 groups/tabs: Template Fields, New Fields, Exclude.; - New Fields shows only deposit columns that have at least one non-null value and are not yet in the template.; - Exclude contains deposit columns that are blank/ignored.; - After user maps New Fields + clicks Save, the template is updated; re-opening mapping shows those fields under Template Fields (and New Fields shrinks accordingly).; - No commission calculations change due to these metadata-only fields.",Dependency: vendor template data model must support adding new template fields at runtime.; Assumption: excluded fields are not persisted beyond the template unless needed for auditing.,2026-03-02 Meeting (Summary+Transcript),"Completed, for review",
DEP-002,Deposit Templates / QA,P1,Template QA: compare Rob + brother deposit files; identify column deltas; build Colt Tower template,Compare deposit file variants (Rob vs brother) to identify column differences and ensure the template evolution process works. Create/validate a Colt Tower template based on identified fields.,- Compare files and document columns that differ.; - Create/adjust Colt Tower template so both file variants map cleanly.; - Validate that new/different columns land in New Fields/Exclude as expected.; - Upload both variants successfully without breaking matching.,Dependency: needs deposit files available in test env.,2026-03-02 Meeting (Summary+Transcript),Incomplete,
REC-001,Reconciliation UI / Matching,P0,Reconciliation matching UI: optimize layout to show more schedules + reduce whitespace,Adjust the deposit matching screen so users can see more relevant data without scrolling: target 7–8 deposit lines visible and more suggested revenue schedules visible. Move horizontal scrollbar up and reduce blank space.,"- Top deposit-lines panel shows ~7–8 rows (or a right-side scrollbar after ~4–6 rows, per final UX decision).; - Bottom suggested matches panel shows ~10–11 revenue schedules (or enough to see the next product boundary).; - Horizontal scrollbar is positioned so it does not consume space needed for suggested matches.; - No UI overlap/clipping; works at common laptop resolutions.","From transcript: request to show less deposit line items at once and more suggested matches, move slider bar up, and see 7–8 rows more easily.",2026-03-02 Meeting (Summary+Transcript),Completed,
REC-002,Reconciliation UI / Matching,P1,Deposit matching: rename 'Account Name' header and remove hyperlinks for vendor-side fields,"In deposit matching, relabel the deposit-side 'Account Name' to clarify it is the vendor/deposit account value; also remove hyperlinks from fields like Other Product Name (and deposit-side account legal name equivalents) since they may not map to internal CRM records.",- Deposit-side grid column label 'Account Name' becomes 'Vendor/Deposit Account' (or similar).; - 'Other Product Name' in the deposit-side grid is rendered as plain text (no hyperlink).; - Any deposit-side field that is not guaranteed to map to an internal record does not hyperlink.,,2026-03-02 Meeting (Summary+Transcript),"Completed, for review",
REV-001,Revenue Schedules / Data Model,P1,Revenue Schedule detail: consolidate Vendor/Distributor/Customer ID fields into 'Other IDs',Simplify the Revenue Schedule detail page and underlying model by replacing redundant Vendor/Distributor/Customer ID fields with a single 'Other IDs' field (to align with Opportunity detail page).,- Revenue Schedule detail page shows a single 'Other IDs' field (and retains House ID if needed).; - Data model no longer requires separate Vendor/Distributor/Customer ID fields on Revenue Schedule.; - Existing screens that expect the separate fields are updated.; - Confirm how existing data migrates into 'Other IDs' (concatenate vs choose precedence).,Dependency: confirm whether House ID remains separate (seems to be kept). Migration rules are TBD → needs decision.,2026-03-02 Meeting (Summary+Transcript),In Progress,
REV-002,Matching Logic / Revenue Schedules,P1,Revenue schedule visibility: confirm date-filter fix + confidence threshold; add regression tests,"Follow-up after fixing missing revenue schedules: ensure schedule filtering by date is correct, confidence threshold changes are intentional/configurable, and schedule display ordering remains oldest-first (FIFO).",- Revenue schedules are not incorrectly filtered out due to date logic.; - Confidence threshold (used for showing matches) is set intentionally or made configurable.; - Suggested schedules display in oldest-first order where required.; - Regression tests cover the original missing-schedules scenario.,Meeting notes indicate a date filter bug was resolved and confidence threshold temporarily lowered to unblock testing.,2026-03-02 Meeting (Summary+Transcript),In Progress,
PROD-001,Products / UI,P1,Redesign Product Creation form (2-column layout; required Part # + Description; status defaults Active),Update the Product Creation form UI and validation: two-column layout; require Part Number and Description; move House Part Number above divider; remove divider; Status field removed and defaults to Active.,- Form renders in 2 columns (responsive).; - Part Number and Description are required; validation prevents save without them.; - House Part Number is positioned above the divider (or divider removed per design).; - Status is not user-editable on the form and defaults to Active on create.; - Layout matches the agreed field ordering.,,2026-03-02 Meeting (Summary+Transcript),In Progress,Remove Active Status. Default to active
GLOBAL-001,UI / Components,P2,Make auto-expanding textarea behavior global,"Apply the auto-expanding textarea behavior to all multi-line text inputs across the app (e.g., description fields).",- All designated textarea fields auto-expand vertically as the user types.; - No layout breakage; scrollbars appear only when needed.; - Behavior is consistent across major browsers.,,2026-03-02 Meeting (Summary+Transcript),,
ADMIN-001,Admin / Templates,P1,Admin: create Templates management page (list templates A–Z by vendor),Add an Admin section page for managing vendor templates; list templates A–Z by vendor and provide entrypoint to view/edit templates.,- Admin nav includes Templates.; - Page lists templates sorted A–Z by vendor (and/or template name).; - Users can open a template to view/edit mappings (CRUD scope TBD).; - Access controlled to admin role(s).,Confirm whether non-admins can view templates (ASSUMED: admin-only).,2026-03-02 Meeting (Summary+Transcript),In Progress,Match deposit upload UI
UAT-001,QA / UAT,P0,UAT: Rob to self-test deposit matching (create test instances/deposits) and report issues,Rob to run hands-on testing of deposit matching and reconciliation by creating additional instances/deposits and attempting end-to-end matching; report any blockers/bugs found.,- Rob completes at least 2–3 test runs (including creating a new instance + uploading a deposit).; - Issues are documented with screenshots/steps and entered into backlog.; - Confirm whether any workflow 'trip-ups' require UI/logic changes.,,2026-03-02 Meeting (Summary+Transcript),,
UAT-002,QA / Test Data,P0,Provide updated Telarus deposit files for template variation testing,Acquire and upload updated Telarus deposit files so templates can be tested against real-world variations.,- Updated deposit file(s) are provided and available in the shared testing location.; - At least one variation is included (different columns / products).; - Files are used to validate template evolution and matching.,Owner: Rob (per meeting).,2026-03-02 Meeting (Summary+Transcript),,
HUNTER-TASK-001,Backlog / Process,P3,Backlog intake: Update log with items discussed from meetings & emails ,"Process task: extract action items/requirements from the Friday PDF and the second email, and ensure all March 2 Fathom notes are captured in the shared Google Sheet backlog.",- Friday PDF reviewed and any actionable items are converted into tickets.; - Second email reviewed and converted into tickets.; - All March 2 Fathom notes items are represented in the shared backlog sheet.,,2026-03-02 Meeting (Summary+Transcript),Completed and will be ongoing to keep log up to date,
,,,Telarus stemplate building once  Telurs sends template mapping,,,,,,
,,,"Resolve issues, workflow, UI for Flex Schedule Variance. (Rev Schedule naming link with parent account using ""-FLEX""; have flex date match parent schedule",,,,,,
,,,Review bug where user was able to complete M:1 with different commission rates (should only allow for deposit line items with same rates),,,,,,
,,,Simplify and improve Match Wizard UI to one screen instead of excessive click-through,,,,,,
