ID,Area,Subarea,Requirement,Acceptance Criteria (how we'll test it),Sources (file refs),Priority,Status,Last Checkpoint/Notes
GUI-01,Global UI,Platform,Breadcrumb navigation on every page,Every page shows 'Home > Module > Current Page'. Each segment is clickable except the last; module highlight persists when drilling into related objects.,Global UI Specs v2.0 (turn0file8); Comprehensive Functional Spec (turn0file28),P1 - Must have,Completed,Breadcrumb navigation component completed.
GUI-02,Global UI,Platform,Dynamic Column System available in ALL tables,Gear icon (⚙️) present on every list/tab table; selector modal supports add/remove/reorder (drag & arrows); selection persists per user & view.,Global UI Specs v2.0 (turn0file8 ?2.1?2.3); Functional Spec (turn0file20/28 ?2),P1 - Must have,Completed,"Implemented across list pages and detail tabs, with persistence.
"
GUI-03,Global UI,Platform,"Column resizing, auto-fit, header wrap & direct header drag-reorder",User can resize columns; double-click for auto-fit; headers wrap; drag headers to reorder with persistence.,Global UI Specs v2.0 (turn0file8 ?2.3),P1 - Must have,Completed,Columns support drag/resize but auto-fit and header wrap behaviour from the spec are missing.
GUI-04,Global UI,Platform,Filtering & Search with removable filter tags,Filter-by-column + value works; multiple filters combine with AND; tags appear and can be removed individually; global search bar with type-ahead.,Global UI Specs v2.0 (turn0file8 ?3); Functional Spec (turn0file28 ?3),P1 - Must have,Completed," Implemented with removable tags, advanced groups, and type-ahead search."
GUI-05,Global UI,Platform,View toggles for active/inactive,Each table provides 'Active | Show All' or 'Show Inactive' control; default shows only active records.,Global UI Specs v2.0 (turn0file8 ?3.3); Activities/Contacts/Accounts specs confirm usage,P1 - Must have,Completed,ListHeader provides Active/Show All toggles and list pages honour the filter.
GUI-06,Global UI,Platform,Record selection and multi-select behaviors,Row checkboxes with header 'Select All'; Shift-click for range; Ctrl/Cmd for individual; selected rows visibly highlighted.,Global UI Specs v2.0 (turn0file8 ?4.1),P1 - Must have,Completed,Checkbox selection works on contacts only and lacks shift-range/Ctrl behaviours.
GUI-07,Global UI,Platform,Clone/Duplicate record,"When exactly one record selected, 'Duplicate' creates a copy with new ID and appends ' (Copy)'; opens in edit mode.",Global UI Specs v2.0 (turn0file8 ?4.2); Functional Spec (turn0file20/28 ?4.2),P1 - Must have,In Progress,Duplicate/clone actions are not implemented anywhere.
GUI-08,Global UI,Platform,Two-stage deletion with module rules,"Stage 1: delete sets record to inactive; Stage 2: delete inactive prompts for permanent delete. Module-specific constraints enforced (e.g., cannot delete Accounts with active contacts; Opportunities in Billing).",Global UI Specs v2.0 (turn0file8 ?4.4),P0 - Launch blocker,Completed,Deletes immediately hard-delete records; no staged inactive/permanent flow.
GUI-09,Global UI,Platform,Bulk actions,"With multiple selection, user can Delete (soft), Export CSV, Change Owner (where applicable), Update Status.",Global UI Specs v2.0 (turn0file8 ?4.3),P1 - Must have,In Progress,Bulk action toolbar and related APIs are not present.
GUI-10,Global UI,Platform,Account Reassignment (Manager role) from list,"Managers see 'Reassign Accounts' when accounts are selected; modal shows current owner, items to transfer; supports House/Dummy rep options; effective date; commission adjustments preview/confirm.",Global UI Specs v2.0 (turn0file8 ?4.5),P0 - Launch blocker,In Progress,Account reassignment workflow for managers is not built.
GUI-11,Global UI,Platform,    ,"Create forms are modal, two-column, with real-time validation, required asterisks, duplicate detection, and consistent primary/secondary actions.",Global UI Specs v2.0 (turn0file8 ?5); Functional Spec (turn0file20/28 ?5),P1 - Must have,In Progress,Create modals exist but lack duplicate detection and consistent two-column standard across modules.
GUI-12,Global UI,Platform,Data display standards,"Field formatting: names proper-case; phones (XXX) XXX-XXXX; dates YYYY-MM-DD; currency $X,XXX.XX; percentages XX.XX%; hyperlinks and behavior per spec.",Global UI Specs v2.0 (turn0file8 ?6),P1 - Must have,In Progress,Data formatting is partial; currency/date/link standards are not enforced across modules.
GUI-13,Global UI,Platform,UI persistence,"Per-user persistence for columns, widths, sorts, filters, toggles, and per-page settings across sessions.",Global UI Specs v2.0 (turn0file8 ?7),P1 - Must have,In Progress,"Only column order/width persist; filters, sorts, and toggles are not saved per user."
GUI-14,Global UI,Platform,Tabbed navigation system on detail pages,Horizontal tabs below detail; state preserved per tab; each tab has independent Create/Search/Filter/Show Inactive/Dynamic Columns controls.,Global UI Specs v2.0 (turn0file8 ?8),P1 - Must have,In Progress,Dedicated detail pages with horizontal tabs are missing; only modals exist.
GUI-15,Global UI,Platform,"Performance, compatibility, and accessibility","Server-side sorting/filtering, lazy loading; Chrome/Firefox/Safari/Edge versions supported; min resolution 1920?1080; WCAG 2.1 AA; keyboard navigation and high contrast mode.",Global UI Specs v2.0 (turn0file8 Appendix); Functional Spec (turn0file28 Appendix A),P1 - Must have,Not Completed,No performance/accessibility validation for multi-browser or WCAG targets yet.
ACC-01,Accounts,List / Detail / Opportunities,Accounts List: default columns & controls,"List shows Active, Action, Account Name (link), Legal Name, Account Type, Account Owner, Ship-to address columns; 200 per page default; Create/Search/Filter/Dynamic Columns/Show Inactive controls present.",Accounts Module v1.0 (turn0file7 ?1.3?1.4); Accounts Module v2.0 (turn0file9 ?1.3?1.4); Functional Spec (turn0file28 Part II),P1 - Must have,Completed,Accounts list renders contract columns with create/search/filter controls.
ACC-02,Accounts,List / Detail / Opportunities,Create New Account form ? required left-column fields,"Account Name (unique), Account Legal Name, Account Type, Active, Account Owner (House only), Industry, Website URL (valid), Description with inline validation.",Accounts Module v1.0 (turn0file7 ?2.2); v2.0 (turn0file9 ?2.1?2.2); Functional Spec (turn0file28 ?2),P0 - Launch blocker,Completed,Account create modal enforces required fields and validation.
ACC-03,Accounts,List / Detail / Opportunities,Create New Account form ? address handling,Ship-to required fields; Bill-to supports 'Same as Ship' copy; state dropdown 2-letter codes; zip numeric up to 12; country dropdown default United States.,Accounts Module v1.0 (turn0file7 ?2.3); v2.0 (turn0file9 ?2.1 Right Column),P1 - Must have,Completed,Shipping/billing address handling with sync toggle matches requirements.
