"Ticket ID","Epic/Area","Priority","Title","Description","Acceptance Criteria","Notes/Dependencies","Source","Completion Status","Hunter Development Notes"
"RB-GEN-001","Global/Branding","P2","Update application logo globally","Replace current logo asset across app shell (header/login/branding touchpoints).","Logo updated everywhere; no broken image links; caches cleared/updated.","Await final logo asset if not already provided.","Rob Email Feedback 01/25","Blocked","Status update 2026-03-02: Still blocked on receiving final logo asset (SVG w/ transparent background).
Need new SVG file with transparent background for logo"
"RB-CON-001","Contacts","P1","Enable editing Contact Email Address on Contact Detail","Allow users to edit the Contact Email Address field on the contact detail page.","Email field is editable; validates email format; saves successfully; reflected in lists/related views.","Ensure permissions align with role-based editing.","Rob Email Feedback 01/25","Completed",""
"RB-CON-002","Contacts","P0","Fix Contact Type inheritance + update when Account Type changes","Ensure Contact Type inherits from the associated Account Type and updates if Account Type changes.","Creating contact auto-populates Contact Type from Account; changing Account Type updates all linked Contacts (or per decided rule); audit log created.","Confirm if retroactive update should apply to all contacts or only those not manually overridden (ASSUMED: always inherit).","Rob Email Feedback 01/25","Completed",""
"RB-CON-003","Contacts/Opportunities","P1","Fix incorrect Opportunity association shown on Contact (Jordan Cole / Algave Cloud Migration)","Remove unrelated opportunities from a contact’s Opportunities tab unless the contact has a role/house rep association on the opportunity.","Contact only shows opportunities where contact is linked via role or house rep; regression test with known example.","May require tightening query join logic on contact-opportunity relationships.","Rob Email Feedback 01/25","Completed",""
"RB-CON-004","Contacts","P2","Layout tweak: move 'Same as Bill To' checkbox above Bill To Address label","Adjust Contact detail UI layout so checkbox sits just above the Bill To Address section label.","Checkbox appears immediately above section label; no overlap; responsive layout intact.","UI-only change.","Rob Email Feedback 01/25","Completed",""
"RB-CON-005","Contacts","P2","New Contact form: balanced 2-column layout","Redesign New Contact modal/form into a visually balanced 2-column layout.","Form renders 2 columns on desktop widths; collapses cleanly on smaller widths; no field truncation.","Align with existing design system spacing/typography.","Rob Email Feedback 01/25","Completed",""
"RB-CON-006","Contacts","P2","New Contact form: First/Last as separate underlined fields with single 'Name' label","Adjust name entry UI: two underlined inputs for First and Last name under one 'Name' label.","Two inputs render under one label; both required; validation messages correct.","UI-only.","Rob Email Feedback 01/25","Completed",""
"RB-CON-007","Contacts","P1","Work Phone formatting + validation + extension placement","Work Phone must format as xxx-xxx-xxxx; Extension sits next to Work Phone in same column; invalid length shows inline error.","Phone auto-formats; rejects non-10-digit; shows inline error; extension field aligned next to phone; saves correctly.","Confirm whether to store normalized digits or formatted string (ASSUMED: store digits; format on display).","Rob Email Feedback 01/25","Completed",""
"RB-CON-008","Contacts","P2","Remove 'Description' from New Contact form","Remove Description field from New Contact creation form.","Description field absent on create; existing Description on detail (if any) unchanged.","If field still needed later, keep in edit/detail only.","Rob Email Feedback 01/25","Completed",""
"RB-CON-009","Contacts","P1","Rework New Contact form layout and add phone/extension validation","New Contact form needs a balanced 2-column layout. Work Phone should format as xxx-xxx-xxxx with Extension next to it. Also update name/description fields per provided layout example, and ensure all Extension fields are numeric-only.","- New Contact form renders in 2 columns.
- Name entry uses separate First and Last inputs (single label).
- Suffix field remains available (if required) and aligns with layout.
- Remove the 'Description' field from the New Contact form (per client note).
- Work Phone enforces/auto-formats xxx-xxx-xxxx.
- If user enters != 10 digits, show inline validation error.
- Extension fields accept digits only.
- Mobile Phone and Email Address placement matches 2-column layout intent.","","All of Rob Email Feedback 01_25.docx; Rob_Email_Feedback_Pt.2_02-26-26.docx","Completed","Status update 2026-03-02: Implemented new contact create layout + phone/extension validation in components/contact-create-modal.tsx."
"RB-ACC-001","Accounts","P0","Prevent Opportunities on House Accounts","Enforce business rule: Accounts designated as House cannot have Opportunities created/associated.","UI blocks opportunity creation when Account Type=House; API/server validates and rejects with clear message; existing invalid data handled (if any).","Need to define Account Type/flag that represents House (ASSUMED: Account Type == 'House').","Rob Email Feedback 01/25","Completed","Status update 2026-03-02: UI blocks House-account opportunities in components/account-opportunity-create-modal.tsx and API rejects in app/api/opportunities/route.ts."
"RB-ACC-002","Accounts/Admin","P1","Default Account Owner to main Admin when creating House account during setup","When setting up an Account as House, default Account Owner to main Admin user.","On House account creation, Account Owner auto-set to Admin; user can override if permitted; saves correctly.","Define 'main Admin' selection logic (ASSUMED: first admin / tenant owner).","Rob Email Feedback 01/25","Completed","Status update 2026-03-02: House accounts default owner implemented in app/api/accounts/route.ts; covered by tests/account-owner-default-house.test.ts."
