"Ticket ID","Epic/Area","Priority","Title","Description","Acceptance Criteria","Notes/Dependencies","Source","Original Status","Completion Status","Hunter Development Notes","Status Update Notes","Merged From"
"OPP-001","Opportunities/Products","P0","Commission Role - Subject Matter Expert","Need to add check mark & Tooltip  to control entered commission rates.","","","03/02 Fathom Meeting Trasncripts","","Superseded by OPP-003","","Initial SME request appears covered by the fuller SME workflow ticket.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"OPP-002","Opportunities / Data Model","P0","Fix 'Other Account ID' propagation to use correct internal Account ID","Correct the mapping/propagation logic so the 'Other Account ID' stored/propagated matches the intended internal Account ID field (not an incorrect unique identifier).","- When a deposit line is matched and IDs propagate, 'Other Account ID' references the correct internal Account ID value.; - Existing incorrect values are not reintroduced on subsequent matches.; - Add a regression test / reproducible scenario for this bug.","May require data cleanup for already-written incorrect IDs (ASSUMED: at least in test environments).","2026-03-02 Meeting (Summary+Transcript)","In Progress","In Progress","","No clear repo evidence that the propagation bug and regression coverage are fully closed.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"OPP-003","Commission Logic / Opportunities","P1","Implement SME commission workflow (Opp checkbox + % field + tooltip; manual rate entry)","Support Subject Matter Expert (SME) deals via a manual workflow: add SME checkbox + SME % field on Opportunity details; show tooltip during Add Product to instruct user to adjust commission rate manually (e.g., 50% reduction).","- Opportunity details includes SME boolean + SME percent.; - When SME is checked and user adds a product, a tooltip/inline helper text appears explaining the required rate adjustment.; - User can manually override the commission rate (e.g., change 16% to 8%).; - Core commission formulas are unchanged (manual adjustment is the mechanism).","","2026-03-02 Meeting (Summary+Transcript)","In Progress","Completed, for review","","SME checkbox, SME % field, and helper text are present in the opportunity/product UI.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"DEP-001","Deposit Templates / Mapping","P0","Template evolution: implement 'New Fields' + 'Exclude' tabs and auto-promote mapped fields","In deposit field-mapping, separate unmapped deposit columns into 'New Fields' (unmapped fields that have values) vs 'Exclude' (blank/ignored). When users map new fields and save, those new mappings are added to the vendor template so subsequent uploads treat them as template fields.","- Mapping UI has 3 groups/tabs: Template Fields, New Fields, Exclude.; - New Fields shows only deposit columns that have at least one non-null value and are not yet in the template.; - Exclude contains deposit columns that are blank/ignored.; - After user maps New Fields + clicks Save, the template is updated; re-opening mapping shows those fields under Template Fields (and New Fields shrinks accordingly).; - No commission calculations change due to these metadata-only fields.","Dependency: vendor template data model must support adding new template fields at runtime.; Assumption: excluded fields are not persisted beyond the template unless needed for auditing.","2026-03-02 Meeting (Summary+Transcript)","Completed, for review","Completed, for review","","New Fields/Exclude workflow and template promotion behavior are implemented in the mapping flow.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"DEP-002","Deposit Templates / QA","P1","Template QA: compare Rob + brother deposit files; identify column deltas; build Colt Tower template","Compare deposit file variants (Rob vs brother) to identify column differences and ensure the template evolution process works. Create/validate a Colt Tower template based on identified fields.","- Compare files and document columns that differ.; - Create/adjust Colt Tower template so both file variants map cleanly.; - Validate that new/different columns land in New Fields/Exclude as expected.; - Upload both variants successfully without breaking matching.","Dependency: needs deposit files available in test env.","2026-03-02 Meeting (Summary+Transcript)","Incomplete","Blocked / Waiting on test files","","QA task depends on external deposit file variants being available in the test environment.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"REC-001","Reconciliation UI / Matching","P0","Reconciliation matching UI: optimize layout to show more schedules + reduce whitespace","Adjust the deposit matching screen so users can see more relevant data without scrolling: target 7–8 deposit lines visible and more suggested revenue schedules visible. Move horizontal scrollbar up and reduce blank space.","- Top deposit-lines panel shows ~7–8 rows (or a right-side scrollbar after ~4–6 rows, per final UX decision).; - Bottom suggested matches panel shows ~10–11 revenue schedules (or enough to see the next product boundary).; - Horizontal scrollbar is positioned so it does not consume space needed for suggested matches.; - No UI overlap/clipping; works at common laptop resolutions.","From transcript: request to show less deposit line items at once and more suggested matches, move slider bar up, and see 7–8 rows more easily.","2026-03-02 Meeting (Summary+Transcript)","Completed","Completed","","Layout changes were already marked complete and nothing in the repo review contradicted that status.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"REC-002","Reconciliation UI / Matching","P1","Deposit matching: rename 'Account Name' header and remove hyperlinks for vendor-side fields","In deposit matching, relabel the deposit-side 'Account Name' to clarify it is the vendor/deposit account value; also remove hyperlinks from fields like Other Product Name (and deposit-side account legal name equivalents) since they may not map to internal CRM records.","- Deposit-side grid column label 'Account Name' becomes 'Vendor/Deposit Account' (or similar).; - 'Other Product Name' in the deposit-side grid is rendered as plain text (no hyperlink).; - Any deposit-side field that is not guaranteed to map to an internal record does not hyperlink.","","2026-03-02 Meeting (Summary+Transcript)","Completed, for review","In Progress","","Deposit-side Account Name label and hyperlink behavior still do not fully match the requested acceptance criteria.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"REV-001","Revenue Schedules / Data Model","P1","Revenue Schedule detail: consolidate Vendor/Distributor/Customer ID fields into 'Other IDs'","Simplify the Revenue Schedule detail page and underlying model by replacing redundant Vendor/Distributor/Customer ID fields with a single 'Other IDs' field (to align with Opportunity detail page).","- Revenue Schedule detail page shows a single 'Other IDs' field (and retains House ID if needed).; - Data model no longer requires separate Vendor/Distributor/Customer ID fields on Revenue Schedule.; - Existing screens that expect the separate fields are updated.; - Confirm how existing data migrates into 'Other IDs' (concatenate vs choose precedence).","Dependency: confirm whether House ID remains separate (seems to be kept). Migration rules are TBD ? needs decision.","2026-03-02 Meeting (Summary+Transcript)","In Progress","Blocked / Needs migration decision","","Revenue schedule detail still uses the current field model; consolidation into Other IDs does not appear implemented.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"REV-002","Matching Logic / Revenue Schedules","P1","Revenue schedule visibility: confirm date-filter fix + confidence threshold; add regression tests","Follow-up after fixing missing revenue schedules: ensure schedule filtering by date is correct, confidence threshold changes are intentional/configurable, and schedule display ordering remains oldest-first (FIFO).","- Revenue schedules are not incorrectly filtered out due to date logic.; - Confidence threshold (used for showing matches) is set intentionally or made configurable.; - Suggested schedules display in oldest-first order where required.; - Regression tests cover the original missing-schedules scenario.","Meeting notes indicate a date filter bug was resolved and confidence threshold temporarily lowered to unblock testing.","2026-03-02 Meeting (Summary+Transcript)","In Progress","In Progress","","Follow-up validation/regression task still reads like active work rather than fully closed.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"PROD-001","Products / UI","P1","Redesign Product Creation form (2-column layout; required Part # + Description; status defaults Active)","Update the Product Creation form UI and validation: two-column layout; require Part Number and Description; move House Part Number above divider; remove divider; Status field removed and defaults to Active.","- Form renders in 2 columns (responsive).; - Part Number and Description are required; validation prevents save without them.; - House Part Number is positioned above the divider (or divider removed per design).; - Status is not user-editable on the form and defaults to Active on create.; - Layout matches the agreed field ordering.","","2026-03-02 Meeting (Summary+Transcript)","In Progress","In Progress","Remove Active Status. Default to active","Two-column layout exists, but Status is still editable and required Part Number/Description validation is not fully enforced.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
"GLOBAL-001","UI / Components","P2","Make auto-expanding textarea behavior global","Apply the auto-expanding textarea behavior to all multi-line text inputs across the app (e.g., description fields).","- All designated textarea fields auto-expand vertically as the user types.; - No layout breakage; scrollbars appear only when needed.; - Behavior is consistent across major browsers.","","2026-03-02 Meeting (Summary+Transcript)","","Not Started","","Autosize textarea exists, but many forms still use raw textarea controls so rollout is not global.","Live_Backlog_Commissable_CRM - 03_02-03_16 Tickets (1).csv"
