Approved,Field ID,Page Name,Field Label,Field_Name,Where does the data come from?,Formula,Read Only,Prepopulated,Entry Required,Field Notes,Field Type,Example Data,Field Format,,,
,,,,,,,,,,,,,,,,
,01.01.000,Accounts - 1-1-Main Page - List of Accounts,Account Name,Account_Name,This is simply a list of all Active(default) and Inactive (toggle) accounts,These fields come from the Dyamic Column selections,No,Yes,No,,Text,Algave LLC,Proper Text Format,,,
,01.01.001,Accounts - 1-1-Main Page - List of Accounts,Account Legal Name,Account_Legal_Name,This is simply a list of all Active(default) and Inactive (toggle) accounts,These fields come from the Dyamic Column selections,No,Yes,No,,Text,Ford,Proper Text Format,,,
,01.01.002,Accounts - 1-1-Main Page - List of Accounts,Account Type,Account_Type,This is simply a list of all Active(default) and Inactive (toggle) accounts,These fields come from the Dyamic Column selections,No,Yes,No,,Drop Down with Options,Customer,Proper Text Format,,,
,01.01.003,Accounts - 1-1-Main Page - List of Accounts,Account Owner,Account_Owner,This is simply a list of all Active(default) and Inactive (toggle) accounts,These fields come from the Dyamic Column selections,No,Yes,No,"Choose from any contact with ""house rep"" as contact type",Drop Down with Options,Rob Hosef,Proper Text Format,,,
,01.01.004,Accounts - 1-1-Main Page - List of Accounts,Shipping Street,Shipping_Street,This is simply a list of all Active(default) and Inactive (toggle) accounts,These fields come from the Dyamic Column selections,No,Yes,No,,Text,1 Main Street,Proper Text Format,,,
,01.01.005,Accounts - 1-1-Main Page - List of Accounts,Shipping Street 2,Shipping_Street_2,This is simply a list of all Active(default) and Inactive (toggle) accounts,These fields come from the Dyamic Column selections,No,Yes,No,,Text,Suite 100,Proper Text Format,,,
,01.01.006,Accounts - 1-1-Main Page - List of Accounts,Shipping City,Shipping_City,This is simply a list of all Active(default) and Inactive (toggle) accounts,These fields come from the Dyamic Column selections,No,Yes,No,,Text,Woodstock,Proper Text Format,,,
,01.01.007,Accounts - 1-1-Main Page - List of Accounts,Shipping State,Shipping_State,This is simply a list of all Active(default) and Inactive (toggle) accounts,These fields come from the Dyamic Column selections,No,Yes,No,"Options are provided on Feedback Sheet, Sorted A-Z",Drop Down with Options,GA,2 Letter Abbreviation,,,
,01.01.008,Accounts - 1-1-Main Page - List of Accounts,Shipping Zip,Shipping_Zip,This is simply a list of all Active(default) and Inactive (toggle) accounts,These fields come from the Dyamic Column selections,No,Yes,No,Max 12 Digits,General,32081,General,,,
,,,,,,,,,,,,,,,,
