Ticket ID,Epic/Area,Priority,Title,Description,Acceptance Criteria,Notes/Dependencies,Completion Status,Hunter Development Notes,Source
OPP-001,Opportunities/Products,P0,Commission Role - Subject Matter Expert,Need to add check mark & Tooltip  to control entered commission rates.,,,,,03/02 Fathom Meeting Trasncripts
OPP-002,Opportunities / Data Model,P0,Fix 'Other Account ID' propagation to use correct internal Account ID,Correct the mapping/propagation logic so the 'Other Account ID' stored/propagated matches the intended internal Account ID field (not an incorrect unique identifier).,"- When a deposit line is matched and IDs propagate, 'Other Account ID' references the correct internal Account ID value.; - Existing incorrect values are not reintroduced on subsequent matches.; - Add a regression test / reproducible scenario for this bug.",May require data cleanup for already-written incorrect IDs (ASSUMED: at least in test environments).,Completed,,2026-03-02 Meeting (Summary+Transcript)
OPP-003,Commission Logic / Opportunities,P1,Implement SME commission workflow (Opp checkbox + % field + tooltip; manual rate entry),"Support Subject Matter Expert (SME) deals via a manual workflow: add SME checkbox + SME % field on Opportunity details; show tooltip during Add Product to instruct user to adjust commission rate manually (e.g., 50% reduction).","- Opportunity details includes SME boolean + SME percent.; - When SME is checked and user adds a product, a tooltip/inline helper text appears explaining the required rate adjustment.; - User can manually override the commission rate (e.g., change 16% to 8%).; - Core commission formulas are unchanged (manual adjustment is the mechanism).",,"Completed, for review",,2026-03-02 Meeting (Summary+Transcript)
DEP-001,Deposit Templates / Mapping,P0,Template evolution: implement 'New Fields' + 'Exclude' tabs and auto-promote mapped fields,"In deposit field-mapping, separate unmapped deposit columns into 'New Fields' (unmapped fields that have values) vs 'Exclude' (blank/ignored). When users map new fields and save, those new mappings are added to the vendor template so subsequent uploads treat them as template fields.","- Mapping UI has 3 groups/tabs: Template Fields, New Fields, Exclude.; - New Fields shows only deposit columns that have at least one non-null value and are not yet in the template.; - Exclude contains deposit columns that are blank/ignored.; - After user maps New Fields + clicks Save, the template is updated; re-opening mapping shows those fields under Template Fields (and New Fields shrinks accordingly).; - No commission calculations change due to these metadata-only fields.",Dependency: vendor template data model must support adding new template fields at runtime.; Assumption: excluded fields are not persisted beyond the template unless needed for auditing.,"Completed, for review",,2026-03-02 Meeting (Summary+Transcript)
DEP-002,Deposit Templates / QA,P1,Template QA: compare Rob + brother deposit files; identify column deltas; build Colt Tower template,Compare deposit file variants (Rob vs brother) to identify column differences and ensure the template evolution process works. Create/validate a Colt Tower template based on identified fields.,- Compare files and document columns that differ.; - Create/adjust Colt Tower template so both file variants map cleanly.; - Validate that new/different columns land in New Fields/Exclude as expected.; - Upload both variants successfully without breaking matching.,Dependency: needs deposit files available in test env.,Pending,,2026-03-02 Meeting (Summary+Transcript)
DEP-003,Data / Deposit Template,P1,Build out Telarus Template once updated field's provided from Telarus,,,,Pending,,
DEP-004,Deposit Templates / Mapping,P0,Multi-vendor upload: filter records by selected vendor/distributor; jump to first row; renumber record list,,,,Completed,2026-03-06 Meeting Backlog,"Completed, for review"
REC-001,Reconciliation UI / Matching,P0,Reconciliation matching UI: optimize layout to show more schedules + reduce whitespace,Adjust the deposit matching screen so users can see more relevant data without scrolling: target 7–8 deposit lines visible and more suggested revenue schedules visible. Move horizontal scrollbar up and reduce blank space.,"- Top deposit-lines panel shows ~7–8 rows (or a right-side scrollbar after ~4–6 rows, per final UX decision).; - Bottom suggested matches panel shows ~10–11 revenue schedules (or enough to see the next product boundary).; - Horizontal scrollbar is positioned so it does not consume space needed for suggested matches.; - No UI overlap/clipping; works at common laptop resolutions.","From transcript: request to show less deposit line items at once and more suggested matches, move slider bar up, and see 7–8 rows more easily.",Completed,,2026-03-02 Meeting (Summary+Transcript)
REC-002,Reconciliation UI / Matching,P1,Deposit matching: rename 'Account Name' header and remove hyperlinks for vendor-side fields,"In deposit matching, relabel the deposit-side 'Account Name' to clarify it is the vendor/deposit account value; also remove hyperlinks from fields like Other Product Name (and deposit-side account legal name equivalents) since they may not map to internal CRM records.",- Deposit-side grid column label 'Account Name' becomes 'Vendor/Deposit Account' (or similar).; - 'Other Product Name' in the deposit-side grid is rendered as plain text (no hyperlink).; - Any deposit-side field that is not guaranteed to map to an internal record does not hyperlink.,,"Completed, for review",,2026-03-02 Meeting (Summary+Transcript)
REC-003,Reconciliation,,Simplify and improve Match Wizard UI to one screen instead of excessive click-through,,,,Completed,,
