,,,,,,
Ticket ID,Priority,Epic/Area,Title,Description,Acceptance Criteria,Notes/Dependencies
MTG-0303-001,P1,Admin / Templates,"Template Management UI v2: back-office page (dropdown select, combined list+edit, test-only upload, record nav)",,,
MTG-0303-002,P0,Matching Logic / Revenue Schedules,"Fix variance/Flex logic: tolerance handling, correct -flex schedule creation, date sync, auto-delete on unmatch",,,
MTG-0303-003,P2,QA / Test Data,Cleanup: remove orphaned test schedules created during Rob Feb deposit testing,,,
MTG-0303-004,P1,Reconciliation UI / Matching,"Reconciliation QoL: sync matched/unmatched views, auto-select bottom row, fix refresh states",,,
MTG-0303-005,P1,Reconciliation UI / Matching,"Spec: draft standard reconciliation column layout (top/bottom, frozen columns, widths) and share with StrategixAI",,,
MTG-0303-007,P1,Reconciliation UI / Matching,Add Vendor Name + Distributor Name to deposit line item fields (reconciliation grids),,,
MTG-0303-008,P1,Revenue Schedules / Data Model,Revenue schedule details: show human Account ID (not UUID) + fix formatting,,,
MTG-0303-010,P0,Deposit Templates / Mapping,Multi-vendor upload: filter records by selected vendor/distributor; jump to first row; renumber record list,,,
MTG-0303-011,P1,Commission Logic / Opportunities,SME feature bugfix: save/trigger not firing; ensure product pop-up appears; notify Rob to test,,,
MTG-0303-012,P2,Commission Logic / Opportunities,Validate SME commission logic vs Rob’s SME commission report; identify gaps and required rule updates,,,
MTG-0303-013,P1,Commission Logic / Opportunities,SME commission guidance: show note in commission section when SME role selected (V–AK excluding AA),,,
MTG-0303-014,P0,Matching Logic / Revenue Schedules,"Many-to-one/bundle matching: enforce commission-rate equality; if different, prompt to split schedule into individual schedules",,,
MTG-0303-015,P3,Reconciliation / Workflow,AI experiment: create secondary concatenated “Other IDs” field (do not replace structured ID fields),,,
MTG-0303-016,P3,Reconciliation / Workflow,AI matching strategy update: hard-gate Vendor/Distributor/Dates; fuzzy-match other fields with confidence score,,,
MTG-0305-001,P0,Matching Logic / Revenue Schedules,Many-to-one bundle conversion workflow: replace bundled product/schedule with individual products + schedule series,"When a deposit line item maps to multiple schedules with different commission rates, block the match and offer a remediation workflow that replaces the bundled product/schedule setup with separate products and schedule series built from the deposit data.","Auto-validate rate conflict before match; plain-language prompt explains why bundle cannot be matched; on confirm, create separate opportunity products from deposit line data; create schedule series that mirrors original bundle timeline; remove/deactivate original bundled product + schedules; write audit trail.","Expands MTG-0303-014. ASSUMED: original bundle removal should be soft-delete/audited, not hard delete."
MTG-0305-002,P0,Matching Logic / Revenue Schedules,Commission-rate discrepancy prompt with optional apply-to-future update,"If received commission rate differs from expected rate during matching, show a prompt and let the user decide whether to update future schedules for that product instead of silently adjusting only the current match.",Prompt shows expected vs received rate; works for over- and under-rate scenarios; user can keep current rate and flag/investigate or update future schedules in-flow; future schedule update does not require leaving reconciliation; current actuals still save correctly.,"ASSUMED: future-only change, not retroactive to reconciled schedules."
MTG-0305-003,P0,Reconciliation / Undo Logic,"Unmatch must fully reverse usage + commission adjustments, not just actuals","Fix unmatch so it restores all pre-match values, including expected usage adjustment and commission adjustment, not only actual usage/commission.","Unmatch clears actual usage, actual commission, expected usage adjustment, and commission adjustment; works for one-to-one and multi-item scenarios; rematch after unmatch behaves correctly; stale adjustments no longer distort confidence/matching.",Expands prior 03-03 unmatch/flex cleanup behavior.
MTG-0305-004,P1,Reconciliation UI / Matching,Live pre-match preview in revenue schedule grid with temporary values + cell highlighting,"As users select deposit lines and candidate schedules, temporarily preview resulting Actual Usage / Actual Commission in the bottom schedule grid before Match is clicked.",Previewed values appear in-place without saving; deselecting rows reverts preview; changed cells are highlighted; temporary preview can include adjustment-related cells where relevant; interaction does not reload full page.,Rob preferred replacing the displayed value in-cell vs showing a side-by-side delta.
MTG-0305-005,P1,Reconciliation UI / Modals,"Matching modal UX cleanup: auto-validation, plain-language errors, clearer sections, use schedule numbers",Clean up matching/variance pop-ups so users do not have to hunt for actions or interpret internal IDs.,Validation runs automatically; no extra manual preview step for rate conflict; modal uses clear sections/dividers/contrast; copy is plain-language; previews show schedule numbers/names instead of raw IDs; buttons/actions are clearly labeled.,Depends on Rob’s final wording for matching + variance modal actions.
MTG-0305-006,P1,Reconciliation UI / Columns,"Frozen-column lock behavior v2: lock in modal, move locked columns left, configure top/bottom separately",Implement the final frozen-column behavior in the column-selection modal.,Users can mark columns locked via checkbox/lock icon; locked columns pin left and override normal order; users can still reorder columns; top and bottom tables can have different locked columns; preference persists per user.,Expands MTG-0303-006 with final agreed behavior.
MTG-0305-007,P1,Reconciliation UI / Workflow,Swap Match button to Unmatch in matched view,"In matched context, replace Match with Unmatch so the next available action is obvious.","When viewing matched items, primary action reads Unmatch; user does not need to reveal a hidden second state; no duplicate/conflicting Match + Unmatch buttons for the same matched row; works for multi-item matched selections.",This is a UX clarification/finalization of the earlier unmatch-button discussion.
MTG-0305-008,P1,Revenue Schedules / UI & Data Binding,Fix revenue schedule row-update + percent formatting bugs in commission-rate displays,Resolve the bad row-update behavior in revenue schedules and fix remaining percent-formatting issues where rates are rendering on a 0–1 scale instead of 0–100.,Row updates reflect saved values immediately; commission-rate fields render consistently as percentages; SME scenarios display 8 vs 16 correctly; no stale row state after save/update.,Transcript confirms both a row-update bug and a remaining percent-formatting issue.
MTG-0305-009,P2,QA / Test Data,Purge obsolete reconciliation test schedules from prior sessions,Delete stale test schedules and temporary overage artifacts so current reconciliation testing is clean.,Remove the $29.90 and $2.40 schedules and other obsolete prior-session artifacts called out in meeting; preserve currently valid test schedules; document what was removed.,Pure UAT cleanup ticket.
