Issue Key,Issue Type,Epic/Area,Summary,Description,Acceptance Criteria,Priority,Source,Assumptions,Dependencies
WL-001,Task,QA / Test Data,"Add Feb 4 deposit file to UAT dataset (overage/FLEX, 2:1, 1:2 match scenarios)","New Deposit File (attached)\n\nRow 2               	–Test Overage (DW Realty)  I’ve highlighted in yellow Row 2, as it has overage to test the flex and our back-office variance.\n\nRow 3-4           	–Test 2 Deposit Line Items to 1 Revenue Schedule (Edge 1350 N meadow).  I’ve highlighted rows 3-4 for a 2:1 matchup.\n\nRow 5               	-Test 1 Deposit Line Item to 2 Revenue Schedules (Edge 394 S Miledge)  Highlighted it Orange on Row 5.",• Deposit file is available in the test environment.\n• Rows called out in the work log can be used to validate:\n  - overage triggers FLEX/back-office variance handling\n  - 2 deposit lines → 1 revenue schedule (2:1)\n  - 1 deposit line → 2 revenue schedules (1:2)\n• Test instructions/reference are attached in the ticket.,P1,02_04 Work Log.docx,,
WL-002,Task,Revenue Schedules,Enable bulk update of Price Each on existing revenue schedules (single product series),NOTE:  I can’t figure out how to change the pricing on existing schedules all at once.  See schedules #12342-12353.  I want to change that series to $29.90 each for all schedules for that product.  I do see the Expected Commission %.  See other notes below.\n\nHow do I change the $ amount per item on the existing schedules?  I don’t see a tab in the “Manage” area.,"• User can update Price Each for a series of existing schedules for a selected product (e.g., schedules #12342–12353).\n• Change persists across all selected schedules.\n• Expected/derived money fields are recalculated after update (ASSUMED: expected usage/commission fields depend on price).\n• UI exposes this action under the Revenue Schedule “Manage” area.",P1,02_04 Work Log.docx,ASSUMED: updating Price Each should recalc expected usage/commission fields.,
WL-003,Task,Opportunities,[DONE] Opportunity Product Detail: display Opportunity Name with link to Opportunity Detail,"On the Opportunity Product Detail page, we’re missing the name of the opportunity field(w/hyperlink to Opp Detail page)",• Opportunity Product Detail page shows the parent Opportunity Name.\n• Opportunity Name is clickable and navigates to the Opportunity Detail page.\n• Field is visible without adding custom columns.,P2,02_04 Work Log.docx,,
WL-004,Task,Opportunities / Products,Opportunity Detail > Products section: add First Schedule Date and Last Schedule Date,"On the Opportunity Detail page, in the Product Section, we’re missing the Date of the First Schedule and Last Schedule",• Products section shows First Schedule Date and Last Schedule Date per product.\n• Dates reflect the earliest/latest schedule currently generated for that product.,P2,02_04 Work Log.docx,,
WL-005,Task,Opportunities / Product Add,Add Product popup: make House – Product Family dropdown font consistent across Catalog vs Create New Product,"On the “Popup” for adding a new product, the dropdown for “House – Product Family” font is bigger on the “Add Product from Catalog” than the “Create New Product” field of the same name.",• House – Product Family dropdown uses consistent font size/weight across 'Add Product from Catalog' and 'Create New Product' flows.\n• No other form fields regress visually.,P2,02_04 Work Log.docx,,
WL-006,Task,Revenue Schedules,Create Schedules popup: redesign form layout into two tight columns (Label–Entry pairs),"For the “Create Schedules” popup tab\n\nThe form needs to be cleaned up and organized so there are two columns, and all labels/entries are side by side.  I’d guess 4 columns (Label – Entry – Label – Entry).  Keep them as tight as you can to the left.",• Create Schedules form uses a 2-column layout (Label–Entry–Label–Entry) with tight spacing aligned to the left.\n• Labels and inputs are side-by-side (no stacked labels) where possible.\n• Layout remains usable at standard laptop resolution without horizontal overflow.,P1,02_04 Work Log.docx,,
WL-007,Task,Revenue Schedules,Create Schedules popup: remove commission split inputs (prefill from Opportunity defaults),"The Opportunity already has the Commission splits, so these fields should not be on this tab, that info should be brought in from the Opportunity by default.",• Commission split values are sourced from the Opportunity by default.\n• User is not asked to re-enter Opportunity commission splits in this popup.\n• Created schedules inherit the Opportunity’s current split values.,P1,02_04 Work Log.docx,,
WL-008,Task,Revenue Schedules,Create Schedules popup: fix House % default showing 1.00% vs 100.00%,"Form has the “House %” set to 1.00%, instead of 100.00%.  I believe it’s formatting, as I’ve changed it and it still comes back. – see Edge Business Opp - 1350 N Meadow","• House % defaults to 100.00% (not 1.00%).\n• If user edits then saves/reopens, value persists correctly.\n• Formatting is consistent with other percentage fields.",P1,02_04 Work Log.docx,,
WL-009,Task,Revenue Schedules,Create Schedules popup: clarify/remove chargeback toggle; use negative Price Each for chargebacks,"Why do we have a “Mark as chargeback, amount becomes negative” and “Amount per Schedule”?   Why wouldn’t we just make the amount negative in the Price Each?","• Chargeback handling does not rely on a confusing 'Mark as chargeback' toggle.\n• User can represent a chargeback by entering a negative amount (e.g., negative Price Each) where applicable.\n• Resulting schedule values correctly reflect negative expected amounts.",P2,02_04 Work Log.docx,ASSUMED: chargeback schedules are represented as negative expected amounts via negative pricing.,
WL-010,Task,Revenue Schedules,Replace 'Create Schedules' tab with 'Clone Schedules' behavior and proper prefill from selected schedule,"Notes:  Why is there a “Create Schedules” tab here?  If we’re out of schedules, we could copy an existing schedule, but selecting a schedule on the previous page doesn’t populate the form.\n\nSecond, this should probably be labeled “Clone Schedules”, since you’re filling in the product by hand from the drop down box.  If that’s the case, then you could do this one of two ways, 1) select an existing product, then select a schedule to copy/propagate.  Once that’s done, give it a start date, the fields populate that schedules quantity, price per, adjustment, shows the expected usage gross, the expected commission rate %.]","• Tab is labeled 'Clone Schedules'.\n• Selecting an existing schedule to clone populates Quantity, Price Each, Adjustments, Expected Commission Rate, and other relevant fields.\n• Cloning allows user to set a new start date and generate additional schedules from the cloned baseline.\n• Selecting a schedule on the prior page carries into the popup and populates the form.",P1,02_04 Work Log.docx,,
