Ticket ID,Epic/Area,Title,Priority,Description,Acceptance Criteria,Notes/Dependencies,Source,Completion Status
RB-GEN-001,Global/Branding,Update application logo globally,P2,Replace current logo asset across app shell (header/login/branding touchpoints).,Logo updated everywhere; no broken image links; caches cleared/updated.,Await final logo asset if not already provided.,Rob Email Feedback 01/25,unkown
RB-CON-001,Contacts,Enable editing Contact Email Address on Contact Detail,P1,Allow users to edit the Contact Email Address field on the contact detail page.,Email field is editable; validates email format; saves successfully; reflected in lists/related views.,Ensure permissions align with role-based editing.,Rob Email Feedback 01/25,completed
RB-CON-002,Contacts,Fix Contact Type inheritance + update when Account Type changes,P0,Ensure Contact Type inherits from the associated Account Type and updates if Account Type changes.,Creating contact auto-populates Contact Type from Account; changing Account Type updates all linked Contacts (or per decided rule); audit log created.,Confirm if retroactive update should apply to all contacts or only those not manually overridden (ASSUMED: always inherit).,Rob Email Feedback 01/25,completed
RB-CON-003,Contacts/Opportunities,Fix incorrect Opportunity association shown on Contact (Jordan Cole / Algave Cloud Migration),P1,Remove unrelated opportunities from a contact’s Opportunities tab unless the contact has a role/house rep association on the opportunity.,Contact only shows opportunities where contact is linked via role or house rep; regression test with known example.,May require tightening query join logic on contact-opportunity relationships.,Rob Email Feedback 01/25,incomplete
RB-CON-004,Contacts,Layout tweak: move 'Same as Bill To' checkbox above Bill To Address label,P2,Adjust Contact detail UI layout so checkbox sits just above the Bill To Address section label.,Checkbox appears immediately above section label; no overlap; responsive layout intact.,UI-only change.,Rob Email Feedback 01/25,incomplete
RB-CON-005,Contacts,New Contact form: balanced 2-column layout,P2,Redesign New Contact modal/form into a visually balanced 2-column layout.,Form renders 2 columns on desktop widths; collapses cleanly on smaller widths; no field truncation.,Align with existing design system spacing/typography.,Rob Email Feedback 01/25,completed
RB-CON-006,Contacts,New Contact form: First/Last as separate underlined fields with single 'Name' label,P2,Adjust name entry UI: two underlined inputs for First and Last name under one 'Name' label.,Two inputs render under one label; both required; validation messages correct.,UI-only.,Rob Email Feedback 01/25,completed
RB-CON-007,Contacts,Work Phone formatting + validation + extension placement,P1,Work Phone must format as xxx-xxx-xxxx; Extension sits next to Work Phone in same column; invalid length shows inline error.,Phone auto-formats; rejects non-10-digit; shows inline error; extension field aligned next to phone; saves correctly.,Confirm whether to store normalized digits or formatted string (ASSUMED: store digits; format on display).,Rob Email Feedback 01/25,completed
RB-CON-008,Contacts,Remove 'Description' from New Contact form,P2,Remove Description field from New Contact creation form.,Description field absent on create; existing Description on detail (if any) unchanged.,"If field still needed later, keep in edit/detail only.",Rob Email Feedback 01/25,completed
RB-ACC-001,Accounts,Prevent Opportunities on House Accounts,P0,Enforce business rule: Accounts designated as House cannot have Opportunities created/associated.,UI blocks opportunity creation when Account Type=House; API/server validates and rejects with clear message; existing invalid data handled (if any).,Need to define Account Type/flag that represents House (ASSUMED: Account Type == 'House').,Rob Email Feedback 01/25,incomplete
RB-ACC-002,Accounts/Admin,Default Account Owner to main Admin when creating House account during setup,P1,"When setting up an Account as House, default Account Owner to main Admin user.","On House account creation, Account Owner auto-set to Admin; user can override if permitted; saves correctly.",Define 'main Admin' selection logic (ASSUMED: first admin / tenant owner).,Rob Email Feedback 01/25,completed
RB-ACC-003,Accounts,Typeahead fields: show dropdown arrow to open options (Parent Account),P1,Add dropdown indicator allowing users to open suggestions list without typing for Parent Account field.,Dropdown arrow visible; clicking shows A–Z list; typing filters list; selection works.,Apply to similar typeahead controls where applicable.,Rob Email Feedback 01/25,completed
RB-ACC-004,Accounts,Parent Account create-on-miss prompt (tab/click away),P1,"If user enters a Parent Account name that doesn’t exist, prompt to create new Parent Account when they tab/click away.","Non-matching entry triggers modal/prompt; user can create or cancel; on create, new account saved and linked as Parent; no duplicates created.",Requires safe-guard against near-duplicates and archived duplicates (if archive exists).,Rob Email Feedback 01/25,incomplete
RB-ACC-005,Accounts,Default 'Same as Ship To' checked + pre-populated; unchecking clears,P2,Default billing/shipping link behavior: Same as Ship To checked by default and pre-populates; unchecking clears dependent fields.,"On new/edit account, checkbox defaults checked; billing fields mirror ship-to; uncheck clears billing fields; re-check re-copies.",Confirm which direction is source-of-truth (ASSUMED: Ship To -> Bill To).,Rob Email Feedback 01/25,incomplete
RB-ADM-001,Admin/Users,"After Add User → Save, redirect to User List",P2,"After saving a new user in Admin, return user to the User List page.","On Save success, route navigates to user list; toast confirmation shown; no double-submit.",UI navigation fix.,Rob Email Feedback 01/25,completed
RB-ADM-002,Admin/Users,New user remains Inactive until invitation accepted,P1,Ensure new users remain Inactive until they accept the invite email; align behavior with popup copy.,New user status=Inactive post-create; becomes Active only after acceptance; audit log entry recorded.,Confirm email invite workflow and token expiration rules.,Rob Email Feedback 01/25,incomplete
RB-OPP-001,Opportunities,Require at least one Role contact before saving Opportunity,P0,Opportunity creation must require at least one Role contact prior to Save/Complete.,Save blocked until at least one role contact added; inline error shown; server validation prevents bypass.,Need definition of role contact entity and where stored (ASSUMED: OpportunityContactRole table).,Rob Email Feedback 01/25,incomplete
RB-OPP-002,Opportunities,Role lookup restricted to Account contacts or Parent Account contacts,P1,"When selecting Role contact, only show contacts from the Opportunity’s Account and its Parent Account (corporate buyer).",Role contact dropdown/search only returns eligible contacts; selecting ineligible contact blocked.,Confirm parent-account relationship is single-level or multi-level (ASSUMED: single-level).,Rob Email Feedback 01/25,completed
RB-OPP-003,Opportunities,Default Subagent to None,P2,Set Subagent default value to None (not blank) on Opportunity create.,Subagent field defaults to None; Save works without selecting subagent; value stored consistently.,Align with Subagent % enable/disable logic.,Rob Email Feedback 01/25,completed
RB-OPP-004,Opportunities,Default Referred By to None,P2,Set Referred By default to None (not blank / not 'No House Rep').,Referred By defaults to None; user can select; value saved; no auto-populated incorrect values.,May be superseded by House Rep renaming ticket.,Rob Email Feedback 01/25,completed
RB-OPP-005,Opportunities,Clarify/implement Referred By vs House Rep field behavior,P1,"Either remove Referred By, or rename/replace with House Rep that defaults to current user and restricts selectable values to House contacts/employees.",Chosen approach implemented: field label and behavior match; defaults correct; selection restricted; downstream reporting updated.,Decision needed: remove vs rename (ASSUMED: rename to House Rep).,Rob Email Feedback 01/25,unkown
RB-OPP-006,Opportunities,Add dropdown arrow + full A–Z list to typeahead/dropdowns (Subagent/Referred By etc.),P1,"Add dropdown arrow to open full list for all typeahead fields (Subagent, Referred By/House Rep, etc.).",Arrow visible; clicking opens list; list sorted A–Z; typing filters; selection persists.,Should align with global dropdown/typeahead standard ticket.,Rob Email Feedback 01/25,incomplete
RB-OPP-007,Opportunities,Subagent % disabled unless Subagent selected; enforce 0.01–99.99%,P0,"If no subagent selected, Subagent % is disabled and not required. If subagent selected, % is required and validated >0.01% and ≤99.99%.",Subagent % disabled when subagent=None; enabled when selected; validation messages show; saves only with valid range; server validates range.,Confirm percent stored as 0–100 vs 0–1 (ASSUMED: 0–100).,Rob Email Feedback 01/25,incomplete
RB-OPP-008,Opportunities,Fix Opportunity billing/shipping addresses not displaying on main Opportunity page,P1,Ensure Billing + Shipping addresses are populated and displayed on Opportunity main view as expected.,"On Opportunity create, addresses pull from Account; displayed on Opportunity; editing Account updates opportunity per rule (ASSUMED: snapshot at creation).",Need to confirm snapshot vs live-link behavior; avoid null concatenation.,Rob Email Feedback 01/25,completed
RB-PROD-001,Products,Fix Expected Commission Rate display formatting (0.16% vs 16.00%),P0,Fix percentage formatting where 16% displays as 0.16% in product contexts.,Rate displays correctly in list + detail + create flows; stored value consistent; regression tests for calculations unaffected.,Likely 0–1 vs 0–100 conversion bug.,Rob Email Feedback 01/25,completed
RB-PROD-002,Products,Create Product popup: add dropdown arrows + full dropdown lists for Distributor/Vendor/Family/Subtype,P1,"Add dropdown arrow controls and full list selection for Distributor Name, Vendor Name, House Product Family, House Product Subtype.",Arrow visible; opens full list; list sorted; filters; selection persists; dependent cascading works.,"Ensure vendor list filtered by distributor, family/subtype filtered appropriately.",Rob Email Feedback 01/25,completed
RB-PROD-003,Products,Create Product popup: duplicate product detection (warn/block),P1,Detect if a product already exists (by key fields) and warn or prevent duplicate creation.,"On attempted duplicate, user sees warning; can cancel; system blocks hard duplicates; optional merge path (if supported).",Define matching keys (ASSUMED: Distributor+Vendor+Family+Subtype+Product Name).,Rob Email Feedback 01/25,completed
RB-PROD-004,Products,Create Product popup: fix non-required fields blocking Save,P0,"Fields that are not required must not block Save (Other Product Name, Vendor Part #, Other Part Number, Other Product Description).",User can save with those fields blank; required validation only triggers on required fields; server validation aligned.,Re-check schema constraints and frontend validation schema.,Rob Email Feedback 01/25,completed
RB-PROD-005,Products,Create Product popup: remove pre-filled example placeholders/tooltips,P2,"Remove example default text (e.g., “Cable Services…”, “PN-123…”) so fields are blank by default.",New product form fields start blank; placeholders are generic labels only; no sample data saved accidentally.,UI/UX cleanup.,Rob Email Feedback 01/25,completed
RB-PROD-006,Products,Product Detail: add dropdown arrow + larger dropdown for Product Family/Subtype,P1,Improve Product Family/Subtype editing with dropdown arrows and larger dropdown lists.,Arrow present; list scrolls internally; no page jump; selection saves; lists sized appropriately.,Also addresses dropdown UX issues on detail page.,Rob Email Feedback 01/25,completed
RB-PROD-007,Products,Fix dropdown UX bug: page scroll/jump when opening dropdown; scroll should be inside dropdown,P1,"When opening a long dropdown (Family/Subtype), the page should not jump; scrolling should occur inside dropdown list.",Opening dropdown does not move viewport; dropdown list scrolls; keyboard navigation works; closes on blur/esc.,May require portal/popover positioning updates.,Rob Email Feedback 01/25,unkown
RB-PROD-008,Products,Remove Vendor Part # field; rename Other Part Number (remove 'Aliases'); ensure deposit mapping targets Other Part Number,P1,Remove redundant Vendor Part # field from product; rename Other – Part Number (Aliases) to Other – Part Number; ensure deposit mapping writes to this field.,Vendor Part # removed from UI and schema (or hidden); renamed field appears; deposit matching/mapping updates correct field; no data loss (migrate values if needed).,Migration required if existing data lives in Vendor Part #.,Rob Email Feedback 01/25,incomplete
RB-PROD-009,Products,Fix underline styling for description fields (wrap-aware),P2,Underline should sit under text and expand down as text wraps for House Description and Other Product Description.,Underline renders correctly for single/multi-line; no floating text effect; consistent typography.,CSS fix for text-decoration / border-bottom behaviors.,Rob Email Feedback 01/25,completed
RB-UX-001,Global UX,Standardize typeahead/dropdown controls: add dropdown arrow + full A–Z list everywhere applicable,P1,"Across the app, typeahead fields should include a dropdown arrow allowing users to open full list (A–Z where applicable).",All relevant typeahead controls show arrow; open list without typing; list sorted; consistent styling; no regressions.,"Audit required: Parent Account, Subagent, Vendor Contact, Product selectors, etc.",Rob Email Feedback 01/25,incomplete
